Player,Points
Hunter13004,31.55
LethalPilot,29.975
TheUW,28
Star_Dragon4,26.25
IceKing12323,25.36666667
Dispuesto,23.4
14ham,22.75
SuperToad916,22.06666667
odsstel,21.65
LightningLucario,20.625
macrocosms,20
cowDude12345,18.5
mrjad333,18.22857143
SerRonanIrwin,18.21428571
Labmonjo1210,17.8
AllieThaDon,17.4
humilau,15.625
NautilusReign,15.5
Buck274,15.5
KirynMissy,15.14285714
tenparks,14.66666667
Abach6,14.57142857
lurchlurger,14.48
QuinnQuimby,13.125
Menderlovemybug,13
BYTECH,12.5
sapphronn,10.93333333
de_eh,8.5
stealthguy11,2
