Player,Points
IceKing12323,27.6
LightningLucario,26
humilau,24.1
Star_Dragon4,23.2
LethalPilot,22.5
KirynMissy,21.3
14ham,20.4
cowDude12345,20
lurchlurger,18.93333333
SerRonanIrwin,18.4
NautilusReign,16.8
mrjad333,16.6
Labmonjo1210,15.4
Hunter13004,15.4
Abach6,15.33333333
Dispuesto,14.4
sapphronn,12.8
odsstel,12.66666667
AllieThaDon,12.13333333
stealthguy11,11.2
SuperToad916,10.6
tenparks,8.8
BYTECH,6.4
QuinnQuimby,0
TheUW,0
de_eh,0
Buck274,0
macrocosms,0
Menderlovemybug,0
