Player,Points
LethalPilot,30.025
odsstel,27.02857143
mrjad333,26.45714286
macrocosms,26.2
Dispuesto,23.35
Star_Dragon4,22
KirynMissy,21.91428571
Labmonjo1210,21.54285714
IceKing12323,20.14285714
AllieThaDon,19.93333333
Abach6,17.74285714
humilau,17.4
#N/A,#N/A
SuperToad916,17
Hunter13004,16.32
lurchlurger,16
TLavaExperience,16
sapphronn,14.66666667
QuinnQuimby,14.46666667
de_eh,12
NautilusReign,11.44
SerRonanIrwin,11.33333333
stealthguy11,11.1
LightningLucario,10.92
cowDude12345,9.666666667
tenparks,9.466666667
BYTECH,9
14ham,8.6
josie_elite,7.2
