Player,Points
LethalPilot,88.23333333
IceKing12323,81.94285714
mrjad333,70.6625
humilau,70.53333333
KirynMissy,62.8125
Labmonjo1210,57
14ham,55.91333333
Menderlovemybug,53.4
lurchlurger,52.53333333
Star_Dragon4,52.25
BYTECH,51.6
odsstel,48.94285714
LightningLucario,48.51666667
SuperToad916,47.85
Hunter13004,45.96
Abach6,45.5
Dispuesto,45.1
sapphronn,42.96666667
TheUW,42.4
AllieThaDon,41.31666667
NautilusReign,41.1
SerRonanIrwin,39.88571429
de_eh,32.9
macrocosms,30.2
cowDude12345,29.3
Buck274,29
stealthguy11,23.6
tenparks,18.66666667
QuinnQuimby,11.775
