Player,Points
LethalPilot,249.9066667
IceKing12323,212.5718367
mrjad333,186.095
Hunter13004,175.64
odsstel,174.802449
humilau,172.0415873
TheUW,169.2
macrocosms,167.4
KirynMissy,159.9164286
Star_Dragon4,142.35
Labmonjo1210,141.1467857
AllieThaDon,138.1666667
SuperToad916,136.375
Menderlovemybug,132.3
Dispuesto,131.6548571
14ham,129.9
Abach6,124.375
sapphronn,121.6
LightningLucario,121.32
SerRonanIrwin,119.2106122
NautilusReign,115.8171429
lurchlurger,115.2147619
de_eh,78.21714286
cowDude12345,78.16666667
BYTECH,72.4
tenparks,69.5152381
stealthguy11,67.35
QuinnQuimby,56.47714286
Buck274,0
