Player,Points
LethalPilot,31.88333333
IceKing12323,31.18
Labmonjo1210,27.33333333
Hunter13004,26.4
mrjad333,26.23333333
sapphronn,24
de_eh,22.5
Menderlovemybug,22.4
NautilusReign,22.125
SuperToad916,21.6
14ham,21.4
humilau,19.36666667
Abach6,19.18
SerRonanIrwin,18.52
lurchlurger,18.2
KirynMissy,17.05
Dispuesto,16.4
odsstel,15.725
LightningLucario,12.66666667
BYTECH,12
AllieThaDon,11.73333333
macrocosms,11.2
tenparks,8.5
Star_Dragon4,8.25
cowDude12345,7.5
QuinnQuimby,3.75
Buck274,3
TheUW,0
stealthguy11,0
