Player,Points
LethalPilot,143.4322222
macrocosms,122
IceKing12323,118.3285714
Hunter13004,116
odsstel,115
mrjad333,103.76875
humilau,93.84555556
AllieThaDon,93.30666667
KirynMissy,85.6825
Star_Dragon4,84.19
Dispuesto,79.452
Menderlovemybug,78.9
TheUW,77.2
Labmonjo1210,76.0575
Abach6,70.3775
14ham,68.35666667
SerRonanIrwin,68.01428571
SuperToad916,65.85
NautilusReign,64.56666667
sapphronn,60.24
lurchlurger,57.48
LightningLucario,51.76833333
cowDude12345,48.83333333
tenparks,47.9
stealthguy11,43.25
BYTECH,41.485
de_eh,35.35
QuinnQuimby,34.825
Buck274,22.82
