Player,Points
LethalPilot,50.275
IceKing12323,32.56666667
humilau,24.8
Hunter13004,24.3
mrjad333,23.62857143
AllieThaDon,22.48
odsstel,20.9
Abach6,16.11428571
LightningLucario,15.55
NautilusReign,15.2
14ham,13.53333333
KirynMissy,13.31428571
SerRonanIrwin,13.31428571
Labmonjo1210,11.22857143
sapphronn,11.2
tenparks,10.4
stealthguy11,9.6
Star_Dragon4,9
TheUW,9
BYTECH,8.7
macrocosms,8.4
Buck274,8.4
Dispuesto,8.4
de_eh,7.8
lurchlurger,7.56
cowDude12345,7.4
SuperToad916,5
QuinnQuimby,3.6
Menderlovemybug,0
