Player,Points
Menderlovemybug,35
Hunter13004,31.73333333
odsstel,29.46666667
humilau,27.8
KirynMissy,27.6
LethalPilot,22.53333333
SuperToad916,20.86666667
Dispuesto,20.5
14ham,20
AllieThaDon,18.5
Labmonjo1210,18
cowDude12345,18
IceKing12323,16.2
Abach6,13.4
lurchlurger,13
tenparks,12
mrjad333,11.06666667
stealthguy11,9.8
TLavaExperience,9
LightningLucario,8.5
sapphronn,8.5
NautilusReign,7.5
josie_elite,4
SerRonanIrwin,0
Star_Dragon4,0
BYTECH,0
QuinnQuimby,0
de_eh,0
macrocosms,0
