Player,Points
mrjad333,455
humilau,455
SuperToad916,443.3333333
odsstel,420
KirynMissy,350
Menderlovemybug,350
Hunter13004,326.6666667
IceKing12323,315
sapphronn,280
Labmonjo1210,210
Dispuesto,210
tylerj4303,210
_Arua_,186.6666667
Abach6,175
lurchlurger,116.6666667
SerRonanIrwin,105
LethalPilot,70
cowDude12345,70
AllieThaDon,46.66666667
Star_Dragon4,0
NautilusReign,0
BYTECH,0
LightningLucario,0
QuinnQuimby,0
josie_elite,0
14ham,0
tenparks,0
de_eh,0
TLavaExperience,0
