Player,Points
LethalPilot,38.975
IceKing12323,35.88333333
humilau,28.4
KirynMissy,27.51428571
mrjad333,27.35714286
BYTECH,26
Buck274,26
odsstel,23.61666667
AllieThaDon,22.05
SuperToad916,22
LightningLucario,21.62
Star_Dragon4,20.8
sapphronn,20.36666667
Hunter13004,18.05
Labmonjo1210,17.62857143
Dispuesto,17.38
Abach6,16.84285714
lurchlurger,16.6
TheUW,15.4
stealthguy11,13
14ham,12.6
cowDude12345,11.46666667
SerRonanIrwin,11.3
NautilusReign,11.25
de_eh,10.4
Menderlovemybug,8
tenparks,6.1
QuinnQuimby,5.4
macrocosms,0
